t,pos_x,vel_x,pos_y,vel_y,pos_z,vel_z,meas_ax,meas_ay,meas_az
34.335,0,0,0,0,0,0,-0.975264,-4.57281,-8.44247
34.425,0,0,0,0,0,0,-1.91357,1.07618,-12.6553
34.52,0,0,0,0,0,0,-1.01356,1.7081,-11.9659
34.621,0,0,0,0,0,0,-0.975264,4.08259,-10.0893
34.715,0,0,0,0,0,0,-1.28165,7.91241,-8.51906
34.81,0,0,0,0,0,0,0.690709,9.90388,-8.32757
34.91,0,0,0,0,0,0,-0.094405,13.0635,-2.85092
35.01,0,0,0,0,0,0,-0.132703,12.6805,3.1619
35.105,0,0,0,0,0,0,-2.2008,7.29964,1.70657
35.205,0,0,0,0,0,0,-7.08383,-2.35152,-9.26588
35.3,0,0,0,0,0,0,-13.3648,-10.7579,-19.1851
35.4,0,0,0,0,0,0,-13.4796,-5.95155,-18.7639
35.495,0,0,0,0,0,0,-11.6222,-3.13663,-11.1425
35.59,0,0,0,0,0,0,-10.2434,2.26342,-0.89771
35.69,0,0,0,0,0,0,-9.61151,5.17409,2.147
35.788,0,0,0,0,0,0,-7.12213,4.8677,-0.0359997
35.885,0,0,0,0,0,0,-4.76679,-4.93665,-4.09562
35.983,0,0,0,0,0,0,2.28009,-6.10474,-1.26155
36.08,0,0,0,0,0,0,5.93757,-6.64092,-0.361535
36.18,0,0,0,0,0,0,5.63119,-4.45792,-0.667921
36.274,0,0,0,0,0,0,5.22905,-4.93665,-0.821114
36.375,0,0,0,0,0,0,5.38225,-4.41962,0.232088
36.47,0,0,0,0,0,0,6.01417,-6.41113,-2.81263
36.57,0,0,0,0,0,0,19.2845,-11.5623,-6.27862
36.67,0,0,0,0,0,0,16.3739,0.310216,-15.9298
36.768,0,0,0,0,0,0,15.3781,-10.3176,-7.81055
36.865,0,0,0,0,0,0,5.70778,-21.1751,6.01512
36.963,0,0,0,0,0,0,20.6441,-15.4687,12.3918
37.065,0,0,0,0,0,0,26.1207,-5.74091,9.69175
37.16,0,0,0,0,0,0,7.75674,40.8106,-19.1851
37.254,0,0,0,0,0,0,-4.91998,39.2404,-8.15523
37.355,0,0,0,0,0,0,1.28434,23.5381,-0.495579
37.455,0,0,0,0,0,0,6.93333,6.97411,0.155491
37.55,0,0,0,0,0,0,7.20141,4.23578,-0.304087
37.645,0,0,0,0,0,0,9.13547,3.14428,-0.553026
37.745,0,0,0,0,0,0,6.64609,-0.398302,-1.64453
37.84,0,0,0,0,0,0,4.52054,1.82299,-1.49134
37.938,0,0,0,0,0,0,-5.36041,29.3211,-21.4639
38.038,0,0,0,0,0,0,-8.8264,23.5381,-18.4
38.135,0,0,0,0,0,0,-16.0074,26.1232,-2.85092
38.23,0,0,0,0,0,0,-8.59661,-11.1793,1.32358
38.325,0,0,0,0,0,0,-6.62425,-12.1559,-7.84884
38.425,0,0,0,0,0,0,-5.5519,-5.47282,-11.9659
38.521,0,0,0,0,0,0,-5.5136,0.769795,-10.5489
38.62,0,0,0,0,0,0,-6.14552,8.85072,-4.61264
38.715,0,0,0,0,0,0,-8.30937,15.2274,5.49809
38.815,0,0,0,0,0,0,-8.7881,13.0635,12.2194
38.91,0,0,0,0,0,0,-6.81574,11.0721,13.196
39.005,0,0,0,0,0,0,-5.07317,10.2869,9.61515
39.097,0,0,0,0,0,0,-1.47314,7.41454,4.13851
39.195,0,0,0,0,0,0,0.652411,3.43152,0.155491
39.29,0,0,0,0,0,0,1.95455,1.82299,-0.936008
39.385,0,0,0,0,0,0,0.690709,2.45491,0.0788949
39.481,0,0,0,0,0,0,-2.43059,-2.16002,-3.08071
39.58,0,0,0,0,0,0,-10.0137,-23.09,-20.6596
39.676,0,0,0,0,0,0,-11.6796,-14.1857,0.787412
39.77,0,0,0,0,0,0,-6.70085,3.43152,11.7982
39.87,0,0,0,0,0,0,-8.07958,22.6764,-1.79772
39.965,0,0,0,0,0,0,-9.01789,19.7465,-14.417
40.06,0,0,0,0,0,0,-4.76679,8.92732,-12.0617
40.159,0,0,0,0,0,0,-3.61784,3.62301,-8.11693
