time_s,acceleration_x,acceleration_y,acceleration_z
89.01,2.8162646099999997,-4.89834882,-8.82544878
89.11,-0.34334313299999997,-8.65157634,-17.863813800000003
89.205,-0.573132573,-2.52385794,-19.070247600000002
89.3,-0.132702813,1.93788702,-18.055305
89.4,-0.17100105300000001,13.2167187,-15.795767700000003
89.5,-4.28805891,9.042210540000001,1.84061106
89.595,-10.0902717,-33.775241400000006,25.4514564
89.695,-4.23061155,-37.6050654,11.0130003
89.793,4.2141503700000005,-15.679323000000002,-0.17004359700000002
89.89,10.4184162,-1.70044578,-2.31474798
89.985,9.30781629,-1.8153405,-2.79347598
90.085,7.2397113300000004,-3.50046306,-7.3126683
90.179,1.43752797,-13.764411,-10.6828938
90.28,-3.6944361900000002,-9.07285698,-19.070247600000002
90.376,-3.42634851,-6.10474338,-13.765882500000002
90.475,-2.3922960300000002,-7.3685853,-9.11268558
90.575,-1.8752697900000002,-8.574979860000001,-6.71904558
90.675,-2.3922960300000002,-3.8834454600000003,-2.31474798
90.77,-7.35191811,4.1208867,-3.52114254
90.867,-8.86469859,8.25709662,-13.1722794
90.965,-7.083830430000001,0.5208560640000001,-15.5850489
91.063,-6.79659363,-5.98984866,-11.238237900000001
91.16,-4.51784835,-8.3260413,-2.9275198200000005
91.255,-4.36465539,-7.11964674,2.1661461
91.353,-4.90083075,-3.50046306,5.88107538
91.455,-2.25825219,-0.302556096,6.16831218
91.551,-3.96252387,1.19107134,6.359803380000001
91.65,-2.8518749100000003,5.786860140000001,7.06832082
91.745,-3.1008134700000003,9.08050878,9.9597987
91.845,-3.2540064300000004,9.827363700000001,13.1960196
91.945,-3.3114537900000003,8.56348254,15.9535125
92.042,-3.7135853100000005,9.46349118,13.8471093
92.14,-5.05402371,0.233619264,12.870523799999999
92.237,-6.56680419,-1.3174633800000002,14.153475600000002
92.335,-8.883847710000001,3.0102377400000004,14.4598419
92.428,-6.87319011,6.84006174,9.4428117
92.53,-3.27315555,3.9102463800000002,2.31933906
92.625,1.93540509,0.942136704,-1.16580078
92.724,3.4673346900000004,-3.19407714,-0.457280397
92.82,4.57798365,-6.506874900000001,1.3044357000000002
92.915,1.15029117,-5.37707682,12.276920700000002
93.01,-4.78593603,-6.047296020000001,21.774864600000004
93.105,-4.53699747,-4.630261140000001,24.398254800000004
93.2,-0.917816733,-5.817506580000001,23.3450532
93.295,6.9907727699999995,-9.51328674,19.208862900000003
93.395,10.8206262,-9.8771004,13.5216135
93.49,10.188666,4.17833406,-0.4189821570000001
93.59,-7.1987251500000005,29.3785956,-2.83177422
93.685,-16.5052269,22.006184400000002,6.8576805
93.78,-11.2200894,10.0762434,5.6129877
93.875,-4.46040099,1.2485187,1.72571634
93.975,-0.247597533,3.0293868600000002,1.4767777800000002
94.067,-0.151851933,0.5208560640000001,2.3576373
94.165,0.00134062479,-3.19407714,1.26613746
94.26,-2.10505923,-1.6238493000000003,1.9363566600000002
94.357,-1.07100675,-24.6219228,-12.808426500000001
94.45,0.518367267,-14.6261214,-5.4935019
94.55,-1.41569091,-6.660067860000001,6.74278578
